2021-10-07-19-45: epoch: 1 |loss 2.941275 | hm_loss 2.240641 | wh_loss 8.844937 | off_loss 0.516774 | time 4.150000 | loss 2.011486 | hm_loss 1.407237 | wh_loss 7.396055 | off_loss 0.468893 | time 1.850000 | 
2021-10-07-19-51: epoch: 2 |loss 2.093223 | hm_loss 1.479278 | wh_loss 7.392111 | off_loss 0.488677 | time 4.150000 | loss 1.916325 | hm_loss 1.332036 | wh_loss 7.057380 | off_loss 0.462839 | time 1.900000 | 
2021-10-07-19-57: epoch: 3 |loss 2.011994 | hm_loss 1.433895 | wh_loss 6.661696 | off_loss 0.490029 | time 4.183333 | loss 1.883418 | hm_loss 1.309869 | wh_loss 6.862334 | off_loss 0.460865 | time 2.066667 | 
2021-10-07-20-03: epoch: 4 |loss 1.987109 | hm_loss 1.403650 | wh_loss 6.755970 | off_loss 0.491319 | time 4.250000 | loss 1.874308 | hm_loss 1.308115 | wh_loss 6.752977 | off_loss 0.457089 | time 2.050000 | 
2021-10-07-20-10: epoch: 5 |loss 1.952488 | hm_loss 1.379881 | wh_loss 6.588692 | off_loss 0.486346 | time 4.300000 | loss 1.883998 | hm_loss 1.318063 | wh_loss 6.772734 | off_loss 0.454595 | time 2.066667 | 
2021-10-07-20-16: epoch: 6 |loss 1.934300 | hm_loss 1.367892 | wh_loss 6.476252 | off_loss 0.485192 | time 4.283333 | loss 1.858412 | hm_loss 1.291878 | wh_loss 6.793435 | off_loss 0.453724 | time 2.083333 | 
2021-10-07-20-23: epoch: 7 |loss 1.883414 | hm_loss 1.322360 | wh_loss 6.316651 | off_loss 0.490443 | time 4.200000 | loss 1.846366 | hm_loss 1.283043 | wh_loss 6.710570 | off_loss 0.455590 | time 1.816667 | 
2021-10-07-20-29: epoch: 8 |loss 1.888287 | hm_loss 1.335717 | wh_loss 6.184982 | off_loss 0.486642 | time 4.216667 | loss 1.850810 | hm_loss 1.283311 | wh_loss 6.789522 | off_loss 0.456046 | time 1.833333 | 
2021-10-07-20-35: epoch: 9 |loss 1.890995 | hm_loss 1.344042 | wh_loss 6.116584 | off_loss 0.482246 | time 4.233333 | loss 1.841663 | hm_loss 1.281651 | wh_loss 6.673634 | off_loss 0.452660 | time 1.883333 | 
2021-10-07-20-41: epoch: 10 |loss 1.840194 | hm_loss 1.289989 | wh_loss 6.157454 | off_loss 0.484665 | time 4.333333 | loss 1.812049 | hm_loss 1.250690 | wh_loss 6.699712 | off_loss 0.452748 | time 2.033333 | 
2021-10-07-20-47: epoch: 11 |loss 1.863344 | hm_loss 1.319480 | wh_loss 6.020989 | off_loss 0.485630 | time 4.366667 | loss 1.817621 | hm_loss 1.252545 | wh_loss 6.772856 | off_loss 0.452866 | time 1.933333 | 
2021-10-07-20-54: epoch: 12 |loss 1.827041 | hm_loss 1.283764 | wh_loss 6.061038 | off_loss 0.480450 | time 4.400000 | loss 1.815320 | hm_loss 1.264163 | wh_loss 6.493356 | off_loss 0.452977 | time 2.066667 | 
2021-10-07-21-00: epoch: 13 |loss 1.804625 | hm_loss 1.268521 | wh_loss 5.958318 | off_loss 0.476376 | time 4.300000 | loss 1.908932 | hm_loss 1.339616 | wh_loss 6.826631 | off_loss 0.455968 | time 1.833333 | 
2021-10-07-21-06: epoch: 14 |loss 1.825975 | hm_loss 1.283033 | wh_loss 6.004431 | off_loss 0.485441 | time 4.316667 | loss 1.810366 | hm_loss 1.253512 | wh_loss 6.644726 | off_loss 0.449236 | time 1.916667 | 
2021-10-07-21-13: epoch: 15 |loss 1.787733 | hm_loss 1.257465 | wh_loss 5.871565 | off_loss 0.473378 | time 4.250000 | loss 1.834369 | hm_loss 1.287543 | wh_loss 6.422649 | off_loss 0.451386 | time 2.066667 | 
2021-10-07-21-19: epoch: 16 |loss 1.770550 | hm_loss 1.241419 | wh_loss 5.817077 | off_loss 0.476556 | time 4.183333 | loss 1.793410 | hm_loss 1.245759 | wh_loss 6.454411 | off_loss 0.449860 | time 2.083333 | 
2021-10-07-21-25: epoch: 17 |loss 1.782822 | hm_loss 1.257766 | wh_loss 5.731718 | off_loss 0.476941 | time 4.266667 | loss 1.794304 | hm_loss 1.246444 | wh_loss 6.468696 | off_loss 0.448850 | time 2.016667 | 
2021-10-07-21-32: epoch: 18 |loss 1.746838 | hm_loss 1.221548 | wh_loss 5.745717 | off_loss 0.476008 | time 4.333333 | loss 1.800652 | hm_loss 1.251336 | wh_loss 6.495833 | off_loss 0.449050 | time 1.850000 | 
