filename,Xmin_Ymin_Xmax_Ymax,class,filename_trim,fold,target
2f71963a.jpg,"[921, 1510, 1558, 2207]",HDMI,,4,0
8cdf4bda.jpg,"[1442, 1525, 1722, 2000]",USB_Mini,,0,1
7ac35f30.jpg,"[666, 1671, 1990, 2259]",Dock,,2,2
f6641c06.jpg,"[1242, 1753, 1789, 2115]",Lightning,,1,3
4fdc8d7d.jpg,"[1572, 1050, 2231, 1691]",USB_Micro_B,,3,4
f27f4a62.jpg,"[1347, 1841, 1730, 2191]",USB_Mini,,0,1
beafd644.jpg,"[716, 1504, 1903, 2505]",USB_Mini,,0,1
f7261959.jpg,"[1210, 1695, 1578, 1907]",Mini_DisplayPort,,0,5
6aa7c512.jpg,"[1253, 2358, 1719, 2672]",USB_Micro_B,,0,4
43219ea9.jpg,"[1423, 1565, 2630, 2563]",RJ_45,,2,6
c5d27af2.jpg,"[1159, 1906, 2115, 2839]",RJ_45,,1,6
0fc0fe57.jpg,"[1089, 1593, 1935, 2439]",Mini_DisplayPort,,4,5
4d934fe9.jpg,"[1210, 1522, 1794, 1999]",Mini_DisplayPort,,2,5
c8a2bd87.jpg,"[389, 809, 691, 1111]",USB_Type_A,,2,7
023bb971.jpg,"[1926, 736, 3027, 1739]",USB_Mini,,3,1
1bae5f93.jpg,"[1261, 2126, 1535, 2557]",USB_Micro_B,,3,4
9c30538e.jpg,"[1334, 2645, 1691, 3144]",USB_Micro_B,,3,4
e86d40bc.jpg,"[374, 700, 676, 1002]",USB_Micro_B,,3,4
8c059aad.jpg,"[1320, 2094, 1607, 2439]",USB_Type_C,,2,8
df936119.jpg,"[1089, 1593, 1935, 2070]",USB_Type_A,,2,7
69e07bfa.jpg,"[853, 1353, 1713, 2160]",USB_Type_C,,0,8
070c9d5c.jpg,"[1618, 2235, 2363, 2572]",Lightning,,0,3
29b72132.jpg,"[1650, 2806, 2156, 3052]",RJ_45,,1,6
e9d00659.jpg,"[1265, 2177, 1577, 2582]",USB_Mini,,2,1
bdf27cc7.jpg,"[1216, 1489, 2049, 2322]",HDMI,,4,0
3da8c7b2.jpg,"[1007, 591, 1739, 1632]",USB_Micro_B_3.1,,3,9
fb9b2de9.jpg,"[876, 1883, 1644, 2550]",USB_Type_A,,3,7
d4e25017.jpg,"[1261, 2141, 2006, 2509]",Dock,,4,2
94cfdb2c.jpg,"[368, 192, 909, 663]",USB_Type_C,,4,8
506479ee.jpg,"[1505, 2130, 1860, 2357]",USB_Micro_B,,2,4
e79c3af8.jpg,"[1451, 1785, 1904, 2226]",USB_Mini,,3,1
dfcd920f.jpg,"[2288, 1837, 2996, 2173]",USB_Micro_B,,0,4
